Year: 2021, Month: 2, Day: 1, Timestamp: 1612137600 -> New licenses: 0
Year: 2021, Month: 3, Day: 1, Timestamp: 1614556800 -> New licenses: 186
Year: 2021, Month: 4, Day: 1, Timestamp: 1617235200 -> New licenses: 137
Year: 2021, Month: 5, Day: 1, Timestamp: 1619827200 -> New licenses: 297
Year: 2021, Month: 6, Day: 1, Timestamp: 1622505600 -> New licenses: 170
Year: 2021, Month: 7, Day: 1, Timestamp: 1625097600 -> New licenses: 144
Year: 2021, Month: 8, Day: 1, Timestamp: 1627776000 -> New licenses: 255
Year: 2021, Month: 9, Day: 1, Timestamp: 1630454400 -> New licenses: 177
Year: 2021, Month: 10, Day: 1, Timestamp: 1633046400 -> New licenses: 142
Year: 2021, Month: 11, Day: 1, Timestamp: 1635724800 -> New licenses: 417
Year: 2021, Month: 12, Day: 1, Timestamp: 1638316800 -> New licenses: 178
Year: 2022, Month: 1, Day: 1, Timestamp: 1640995200 -> New licenses: 217
Year: 2022, Month: 2, Day: 1, Timestamp: 1643673600 -> New licenses: 134
Year: 2022, Month: 3, Day: 1, Timestamp: 1646092800 -> New licenses: 100
Year: 2022, Month: 4, Day: 1, Timestamp: 1648771200 -> New licenses: 187
Year: 2022, Month: 5, Day: 1, Timestamp: 1651363200 -> New licenses: 229
Year: 2022, Month: 6, Day: 1, Timestamp: 1654041600 -> New licenses: 145
Year: 2022, Month: 7, Day: 1, Timestamp: 1656633600 -> New licenses: 218
Year: 2022, Month: 8, Day: 1, Timestamp: 1659312000 -> New licenses: 171
Year: 2022, Month: 9, Day: 1, Timestamp: 1661990400 -> New licenses: 243
Year: 2022, Month: 10, Day: 1, Timestamp: 1664582400 -> New licenses: 265
Year: 2022, Month: 11, Day: 1, Timestamp: 1667260800 -> New licenses: 473
Year: 2022, Month: 12, Day: 1, Timestamp: 1669852800 -> New licenses: 277
Year: 2023, Month: 1, Day: 1, Timestamp: 1672531200 -> New licenses: 441
Year: 2023, Month: 2, Day: 1, Timestamp: 1675209600 -> New licenses: 292
Year: 2023, Month: 3, Day: 1, Timestamp: 1677628800 -> New licenses: 215
Year: 2023, Month: 4, Day: 1, Timestamp: 1680307200 -> New licenses: 311
Year: 2023, Month: 5, Day: 1, Timestamp: 1682899200 -> New licenses: 372
Year: 2023, Month: 6, Day: 1, Timestamp: 1685577600 -> New licenses: 433
Year: 2023, Month: 7, Day: 1, Timestamp: 1688169600 -> New licenses: 246
Year: 2023, Month: 8, Day: 1, Timestamp: 1690848000 -> New licenses: 119
Year: 2023, Month: 9, Day: 1, Timestamp: 1693526400 -> New licenses: 402
Year: 2023, Month: 10, Day: 1, Timestamp: 1696118400 -> New licenses: 505
Year: 2023, Month: 11, Day: 1, Timestamp: 1698796800 -> New licenses: 592
Year: 2023, Month: 12, Day: 1, Timestamp: 1701388800 -> New licenses: 825
Year: 2024, Month: 1, Day: 1, Timestamp: 1704067200 -> New licenses: 1455
Year: 2024, Month: 2, Day: 1, Timestamp: 1706745600 -> New licenses: 639
Year: 2024, Month: 3, Day: 1, Timestamp: 1709251200 -> New licenses: 49
Year: 2024, Month: 4, Day: 1, Timestamp: 1711929600 -> New licenses: 15
Year: 2024, Month: 5, Day: 1, Timestamp: 1714521600 -> New licenses: 37
Year: 2024, Month: 6, Day: 1, Timestamp: 1717200000 -> New licenses: 18
Year: 2024, Month: 7, Day: 1, Timestamp: 1719792000 -> New licenses: 34
Year: 2024, Month: 8, Day: 1, Timestamp: 1722470400 -> New licenses: 14
Year: 2024, Month: 9, Day: 1, Timestamp: 1725148800 -> New licenses: 24
Year: 2024, Month: 10, Day: 1, Timestamp: 1727740800 -> New licenses: 47
Year: 2024, Month: 11, Day: 1, Timestamp: 1730419200 -> New licenses: 38
Year: 2024, Month: 12, Day: 1, Timestamp: 1733011200 -> New licenses: 17
Year: 2025, Month: 1, Day: 1, Timestamp: 1735689600 -> New licenses: 31
