Year: 1991, Month: 6, Day: 1, Timestamp: 675734400 -> New Licenses: 4
Year: 1991, Month: 7, Day: 1, Timestamp: 678326400 -> New Licenses: 1
Year: 1991, Month: 8, Day: 1, Timestamp: 681004800 -> New Licenses: 0
Year: 1991, Month: 9, Day: 1, Timestamp: 683683200 -> New Licenses: 2
Year: 1991, Month: 10, Day: 1, Timestamp: 686275200 -> New Licenses: 1
Year: 1991, Month: 11, Day: 1, Timestamp: 688953600 -> New Licenses: 5
Year: 1991, Month: 12, Day: 1, Timestamp: 691545600 -> New Licenses: 5
Year: 1992, Month: 1, Day: 1, Timestamp: 694224000 -> New Licenses: 5
Year: 1992, Month: 2, Day: 1, Timestamp: 696902400 -> New Licenses: 6
Year: 1992, Month: 3, Day: 1, Timestamp: 699408000 -> New Licenses: 17
Year: 1992, Month: 4, Day: 1, Timestamp: 702086400 -> New Licenses: 9
Year: 1992, Month: 5, Day: 1, Timestamp: 704678400 -> New Licenses: 9
Year: 1992, Month: 6, Day: 1, Timestamp: 707356800 -> New Licenses: 9
Year: 1992, Month: 7, Day: 1, Timestamp: 709948800 -> New Licenses: 25
Year: 1992, Month: 8, Day: 1, Timestamp: 712627200 -> New Licenses: 23
Year: 1992, Month: 9, Day: 1, Timestamp: 715305600 -> New Licenses: 10
Year: 1992, Month: 10, Day: 1, Timestamp: 717897600 -> New Licenses: 25
Year: 1992, Month: 11, Day: 1, Timestamp: 720576000 -> New Licenses: 43
Year: 1992, Month: 12, Day: 1, Timestamp: 723168000 -> New Licenses: 33
Year: 1993, Month: 1, Day: 1, Timestamp: 725846400 -> New Licenses: 51
Year: 1993, Month: 2, Day: 1, Timestamp: 728524800 -> New Licenses: 28
Year: 1993, Month: 3, Day: 1, Timestamp: 730944000 -> New Licenses: 24
Year: 1993, Month: 4, Day: 1, Timestamp: 733622400 -> New Licenses: 48
Year: 1993, Month: 5, Day: 1, Timestamp: 736214400 -> New Licenses: 30
Year: 1993, Month: 6, Day: 1, Timestamp: 738892800 -> New Licenses: 38
Year: 1993, Month: 7, Day: 1, Timestamp: 741484800 -> New Licenses: 21
Year: 1993, Month: 8, Day: 1, Timestamp: 744163200 -> New Licenses: 87
Year: 1993, Month: 9, Day: 1, Timestamp: 746841600 -> New Licenses: 16
Year: 1993, Month: 10, Day: 1, Timestamp: 749433600 -> New Licenses: 40
Year: 1993, Month: 11, Day: 1, Timestamp: 752112000 -> New Licenses: 38
Year: 1993, Month: 12, Day: 1, Timestamp: 754704000 -> New Licenses: 39
Year: 1994, Month: 1, Day: 1, Timestamp: 757382400 -> New Licenses: 71
Year: 1994, Month: 2, Day: 1, Timestamp: 760060800 -> New Licenses: 39
Year: 1994, Month: 3, Day: 1, Timestamp: 762480000 -> New Licenses: 85
Year: 1994, Month: 4, Day: 1, Timestamp: 765158400 -> New Licenses: 75
Year: 1994, Month: 5, Day: 1, Timestamp: 767750400 -> New Licenses: 87
Year: 1994, Month: 6, Day: 1, Timestamp: 770428800 -> New Licenses: 89
Year: 1994, Month: 7, Day: 1, Timestamp: 773020800 -> New Licenses: 53
Year: 1994, Month: 8, Day: 1, Timestamp: 775699200 -> New Licenses: 125
Year: 1994, Month: 9, Day: 1, Timestamp: 778377600 -> New Licenses: 59
Year: 1994, Month: 10, Day: 1, Timestamp: 780969600 -> New Licenses: 57
Year: 1994, Month: 11, Day: 1, Timestamp: 783648000 -> New Licenses: 73
Year: 1994, Month: 12, Day: 1, Timestamp: 786240000 -> New Licenses: 67
Year: 1995, Month: 1, Day: 1, Timestamp: 788918400 -> New Licenses: 73
Year: 1995, Month: 2, Day: 1, Timestamp: 791596800 -> New Licenses: 64
Year: 1995, Month: 3, Day: 1, Timestamp: 794016000 -> New Licenses: 83
Year: 1995, Month: 4, Day: 1, Timestamp: 796694400 -> New Licenses: 56
Year: 1995, Month: 5, Day: 1, Timestamp: 799286400 -> New Licenses: 89
Year: 1995, Month: 6, Day: 1, Timestamp: 801964800 -> New Licenses: 59
Year: 1995, Month: 7, Day: 1, Timestamp: 804556800 -> New Licenses: 135
Year: 1995, Month: 8, Day: 1, Timestamp: 807235200 -> New Licenses: 63
Year: 1995, Month: 9, Day: 1, Timestamp: 809913600 -> New Licenses: 83
Year: 1995, Month: 10, Day: 1, Timestamp: 812505600 -> New Licenses: 126
Year: 1995, Month: 11, Day: 1, Timestamp: 815184000 -> New Licenses: 82
Year: 1995, Month: 12, Day: 1, Timestamp: 817776000 -> New Licenses: 110
Year: 1996, Month: 1, Day: 1, Timestamp: 820454400 -> New Licenses: 102
Year: 1996, Month: 2, Day: 1, Timestamp: 823132800 -> New Licenses: 186
Year: 1996, Month: 3, Day: 1, Timestamp: 825638400 -> New Licenses: 90
Year: 1996, Month: 4, Day: 1, Timestamp: 828316800 -> New Licenses: 106
Year: 1996, Month: 5, Day: 1, Timestamp: 830908800 -> New Licenses: 237
Year: 1996, Month: 6, Day: 1, Timestamp: 833587200 -> New Licenses: 109
Year: 1996, Month: 7, Day: 1, Timestamp: 836179200 -> New Licenses: 135
Year: 1996, Month: 8, Day: 1, Timestamp: 838857600 -> New Licenses: 106
Year: 1996, Month: 9, Day: 1, Timestamp: 841536000 -> New Licenses: 439
Year: 1996, Month: 10, Day: 1, Timestamp: 844128000 -> New Licenses: 72
Year: 1996, Month: 11, Day: 1, Timestamp: 846806400 -> New Licenses: 156
Year: 1996, Month: 12, Day: 1, Timestamp: 849398400 -> New Licenses: 279
Year: 1997, Month: 1, Day: 1, Timestamp: 852076800 -> New Licenses: 195
Year: 1997, Month: 2, Day: 1, Timestamp: 854755200 -> New Licenses: 282
Year: 1997, Month: 3, Day: 1, Timestamp: 857174400 -> New Licenses: 204
Year: 1997, Month: 4, Day: 1, Timestamp: 859852800 -> New Licenses: 417
Year: 1997, Month: 5, Day: 1, Timestamp: 862444800 -> New Licenses: 276
Year: 1997, Month: 6, Day: 1, Timestamp: 865123200 -> New Licenses: 252
Year: 1997, Month: 7, Day: 1, Timestamp: 867715200 -> New Licenses: 192
Year: 1997, Month: 8, Day: 1, Timestamp: 870393600 -> New Licenses: 62
Year: 1997, Month: 9, Day: 1, Timestamp: 873072000 -> New Licenses: 290
Year: 1997, Month: 10, Day: 1, Timestamp: 875664000 -> New Licenses: 256
Year: 1997, Month: 11, Day: 1, Timestamp: 878342400 -> New Licenses: 194
Year: 1997, Month: 12, Day: 1, Timestamp: 880934400 -> New Licenses: 165
Year: 1998, Month: 1, Day: 1, Timestamp: 883612800 -> New Licenses: 252
Year: 1998, Month: 2, Day: 1, Timestamp: 886291200 -> New Licenses: 145
Year: 1998, Month: 3, Day: 1, Timestamp: 888710400 -> New Licenses: 171
Year: 1998, Month: 4, Day: 1, Timestamp: 891388800 -> New Licenses: 250
Year: 1998, Month: 5, Day: 1, Timestamp: 893980800 -> New Licenses: 270
Year: 1998, Month: 6, Day: 1, Timestamp: 896659200 -> New Licenses: 166
Year: 1998, Month: 7, Day: 1, Timestamp: 899251200 -> New Licenses: 182
Year: 1998, Month: 8, Day: 1, Timestamp: 901929600 -> New Licenses: 249
Year: 1998, Month: 9, Day: 1, Timestamp: 904608000 -> New Licenses: 144
Year: 1998, Month: 10, Day: 1, Timestamp: 907200000 -> New Licenses: 106
Year: 1998, Month: 11, Day: 1, Timestamp: 909878400 -> New Licenses: 157
Year: 1998, Month: 12, Day: 1, Timestamp: 912470400 -> New Licenses: 114
Year: 1999, Month: 1, Day: 1, Timestamp: 915148800 -> New Licenses: 129
Year: 1999, Month: 2, Day: 1, Timestamp: 917827200 -> New Licenses: 107
Year: 1999, Month: 3, Day: 1, Timestamp: 920246400 -> New Licenses: 275
Year: 1999, Month: 4, Day: 1, Timestamp: 922924800 -> New Licenses: 113
