         39783905 function calls (39783804 primitive calls) in 131.384 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
    24315    0.115    0.000    0.862    0.000 <frozen codecs>:319(decode)
    24315    0.023    0.000    0.023    0.000 <frozen codecs>:331(getstate)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1056(_find_spec)
      4/1    0.000    0.000    0.014    0.014 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      4/1    0.000    0.000    0.014    0.014 <frozen importlib._bootstrap>:1167(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      8/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      4/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:666(_load_unlocked)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:772(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:797(is_package)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:922(find_spec)
        3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        6    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
      3/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:934(exec_module)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000  131.384  131.384 <string>:1(<module>)
   194828    5.217    0.000   17.302    0.000 ElementTree.py:1325(XML)
       10    0.000    0.000    0.004    0.000 __init__.py:225(compile)
       43    0.000    0.000    0.000    0.000 __init__.py:253(escape)
       10    0.000    0.000    0.004    0.000 __init__.py:272(_compile)
        2    0.000    0.000    0.000    0.000 __init__.py:305(_compile_repl)
        8    0.000    0.000    0.000    0.000 __init__.py:315(_subx)
        4    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        4    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       19    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       19    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       10    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
     22/4    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        4    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        9    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
      6/4    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        4    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        8    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        4    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
        4    0.000    0.000    0.004    0.001 _compiler.py:738(compile)
        1    0.000    0.000    0.000    0.000 _parser.py:1006(addgroup)
       23    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
       35    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
      106    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        4    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
       37    0.000    0.000    0.000    0.000 _parser.py:170(append)
    28/10    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        6    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
      181    0.000    0.000    0.000    0.000 _parser.py:231(__next)
      101    0.000    0.000    0.000    0.000 _parser.py:247(match)
      120    0.000    0.000    0.000    0.000 _parser.py:252(get)
        5    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
       33    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        5    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
        5    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        8    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
       11    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
     11/4    0.000    0.000    0.002    0.000 _parser.py:447(_parse_sub)
     17/4    0.001    0.000    0.002    0.000 _parser.py:507(_parse)
        4    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       20    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        6    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        6    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
