Year: 1991, Month: 6, Day: 1, Timestamp: 675734400 -> Services: 4
Year: 1991, Month: 7, Day: 1, Timestamp: 678326400 -> Services: 5
Year: 1991, Month: 8, Day: 1, Timestamp: 681004800 -> Services: 5
Year: 1991, Month: 9, Day: 1, Timestamp: 683683200 -> Services: 7
Year: 1991, Month: 10, Day: 1, Timestamp: 686275200 -> Services: 8
Year: 1991, Month: 11, Day: 1, Timestamp: 688953600 -> Services: 12
Year: 1991, Month: 12, Day: 1, Timestamp: 691545600 -> Services: 17
Year: 1992, Month: 1, Day: 1, Timestamp: 694224000 -> Services: 21
Year: 1992, Month: 2, Day: 1, Timestamp: 696902400 -> Services: 27
Year: 1992, Month: 3, Day: 1, Timestamp: 699408000 -> Services: 41
Year: 1992, Month: 4, Day: 1, Timestamp: 702086400 -> Services: 49
Year: 1992, Month: 5, Day: 1, Timestamp: 704678400 -> Services: 56
Year: 1992, Month: 6, Day: 1, Timestamp: 707356800 -> Services: 62
Year: 1992, Month: 7, Day: 1, Timestamp: 709948800 -> Services: 78
Year: 1992, Month: 8, Day: 1, Timestamp: 712627200 -> Services: 89
Year: 1992, Month: 9, Day: 1, Timestamp: 715305600 -> Services: 97
Year: 1992, Month: 10, Day: 1, Timestamp: 717897600 -> Services: 117
Year: 1992, Month: 11, Day: 1, Timestamp: 720576000 -> Services: 142
Year: 1992, Month: 12, Day: 1, Timestamp: 723168000 -> Services: 153
Year: 1993, Month: 1, Day: 1, Timestamp: 725846400 -> Services: 176
Year: 1993, Month: 2, Day: 1, Timestamp: 728524800 -> Services: 191
Year: 1993, Month: 3, Day: 1, Timestamp: 730944000 -> Services: 203
Year: 1993, Month: 4, Day: 1, Timestamp: 733622400 -> Services: 217
Year: 1993, Month: 5, Day: 1, Timestamp: 736214400 -> Services: 223
Year: 1993, Month: 6, Day: 1, Timestamp: 738892800 -> Services: 231
Year: 1993, Month: 7, Day: 1, Timestamp: 741484800 -> Services: 233
Year: 1993, Month: 8, Day: 1, Timestamp: 744163200 -> Services: 249
Year: 1993, Month: 9, Day: 1, Timestamp: 746841600 -> Services: 253
Year: 1993, Month: 10, Day: 1, Timestamp: 749433600 -> Services: 261
Year: 1993, Month: 11, Day: 1, Timestamp: 752112000 -> Services: 265
Year: 1993, Month: 12, Day: 1, Timestamp: 754704000 -> Services: 268
Year: 1994, Month: 1, Day: 1, Timestamp: 757382400 -> Services: 279
Year: 1994, Month: 2, Day: 1, Timestamp: 760060800 -> Services: 289
Year: 1994, Month: 3, Day: 1, Timestamp: 762480000 -> Services: 293
Year: 1994, Month: 4, Day: 1, Timestamp: 765158400 -> Services: 298
Year: 1994, Month: 5, Day: 1, Timestamp: 767750400 -> Services: 305
Year: 1994, Month: 6, Day: 1, Timestamp: 770428800 -> Services: 312
Year: 1994, Month: 7, Day: 1, Timestamp: 773020800 -> Services: 319
Year: 1994, Month: 8, Day: 1, Timestamp: 775699200 -> Services: 334
Year: 1994, Month: 9, Day: 1, Timestamp: 778377600 -> Services: 341
Year: 1994, Month: 10, Day: 1, Timestamp: 780969600 -> Services: 347
Year: 1994, Month: 11, Day: 1, Timestamp: 783648000 -> Services: 343
Year: 1994, Month: 12, Day: 1, Timestamp: 786240000 -> Services: 336
Year: 1995, Month: 1, Day: 1, Timestamp: 788918400 -> Services: 342
Year: 1995, Month: 2, Day: 1, Timestamp: 791596800 -> Services: 344
Year: 1995, Month: 3, Day: 1, Timestamp: 794016000 -> Services: 345
Year: 1995, Month: 4, Day: 1, Timestamp: 796694400 -> Services: 348
Year: 1995, Month: 5, Day: 1, Timestamp: 799286400 -> Services: 354
Year: 1995, Month: 6, Day: 1, Timestamp: 801964800 -> Services: 354
Year: 1995, Month: 7, Day: 1, Timestamp: 804556800 -> Services: 353
Year: 1995, Month: 8, Day: 1, Timestamp: 807235200 -> Services: 352
Year: 1995, Month: 9, Day: 1, Timestamp: 809913600 -> Services: 356
Year: 1995, Month: 10, Day: 1, Timestamp: 812505600 -> Services: 360
Year: 1995, Month: 11, Day: 1, Timestamp: 815184000 -> Services: 359
Year: 1995, Month: 12, Day: 1, Timestamp: 817776000 -> Services: 362
Year: 1996, Month: 1, Day: 1, Timestamp: 820454400 -> Services: 362
Year: 1996, Month: 2, Day: 1, Timestamp: 823132800 -> Services: 360
Year: 1996, Month: 3, Day: 1, Timestamp: 825638400 -> Services: 363
Year: 1996, Month: 4, Day: 1, Timestamp: 828316800 -> Services: 363
Year: 1996, Month: 5, Day: 1, Timestamp: 830908800 -> Services: 373
Year: 1996, Month: 6, Day: 1, Timestamp: 833587200 -> Services: 376
Year: 1996, Month: 7, Day: 1, Timestamp: 836179200 -> Services: 378
Year: 1996, Month: 8, Day: 1, Timestamp: 838857600 -> Services: 379
Year: 1996, Month: 9, Day: 1, Timestamp: 841536000 -> Services: 387
Year: 1996, Month: 10, Day: 1, Timestamp: 844128000 -> Services: 389
Year: 1996, Month: 11, Day: 1, Timestamp: 846806400 -> Services: 398
Year: 1996, Month: 12, Day: 1, Timestamp: 849398400 -> Services: 406
Year: 1997, Month: 1, Day: 1, Timestamp: 852076800 -> Services: 410
Year: 1997, Month: 2, Day: 1, Timestamp: 854755200 -> Services: 417
Year: 1997, Month: 3, Day: 1, Timestamp: 857174400 -> Services: 423
Year: 1997, Month: 4, Day: 1, Timestamp: 859852800 -> Services: 439
Year: 1997, Month: 5, Day: 1, Timestamp: 862444800 -> Services: 439
Year: 1997, Month: 6, Day: 1, Timestamp: 865123200 -> Services: 444
Year: 1997, Month: 7, Day: 1, Timestamp: 867715200 -> Services: 437
Year: 1997, Month: 8, Day: 1, Timestamp: 870393600 -> Services: 432
Year: 1997, Month: 9, Day: 1, Timestamp: 873072000 -> Services: 432
Year: 1997, Month: 10, Day: 1, Timestamp: 875664000 -> Services: 418
Year: 1997, Month: 11, Day: 1, Timestamp: 878342400 -> Services: 404
Year: 1997, Month: 12, Day: 1, Timestamp: 880934400 -> Services: 401
Year: 1998, Month: 1, Day: 1, Timestamp: 883612800 -> Services: 399
Year: 1998, Month: 2, Day: 1, Timestamp: 886291200 -> Services: 382
Year: 1998, Month: 3, Day: 1, Timestamp: 888710400 -> Services: 378
Year: 1998, Month: 4, Day: 1, Timestamp: 891388800 -> Services: 378
Year: 1998, Month: 5, Day: 1, Timestamp: 893980800 -> Services: 380
Year: 1998, Month: 6, Day: 1, Timestamp: 896659200 -> Services: 376
Year: 1998, Month: 7, Day: 1, Timestamp: 899251200 -> Services: 377
Year: 1998, Month: 8, Day: 1, Timestamp: 901929600 -> Services: 375
Year: 1998, Month: 9, Day: 1, Timestamp: 904608000 -> Services: 376
Year: 1998, Month: 10, Day: 1, Timestamp: 907200000 -> Services: 376
Year: 1998, Month: 11, Day: 1, Timestamp: 909878400 -> Services: 376
Year: 1998, Month: 12, Day: 1, Timestamp: 912470400 -> Services: 379
Year: 1999, Month: 1, Day: 1, Timestamp: 915148800 -> Services: 374
Year: 1999, Month: 2, Day: 1, Timestamp: 917827200 -> Services: 361
Year: 1999, Month: 3, Day: 1, Timestamp: 920246400 -> Services: 363
Year: 1999, Month: 4, Day: 1, Timestamp: 922924800 -> Services: 359
Year: 1999, Month: 5, Day: 1, Timestamp: 925516800 -> Services: 358
Year: 1999, Month: 6, Day: 1, Timestamp: 928195200 -> Services: 359
Year: 1999, Month: 7, Day: 1, Timestamp: 930787200 -> Services: 360
Year: 1999, Month: 8, Day: 1, Timestamp: 933465600 -> Services: 355
Year: 1999, Month: 9, Day: 1, Timestamp: 936144000 -> Services: 355
Year: 1999, Month: 10, Day: 1, Timestamp: 938736000 -> Services: 360
Year: 1999, Month: 11, Day: 1, Timestamp: 941414400 -> Services: 355
Year: 1999, Month: 12, Day: 1, Timestamp: 944006400 -> Services: 354
Year: 2000, Month: 1, Day: 1, Timestamp: 946684800 -> Services: 349
Year: 2000, Month: 2, Day: 1, Timestamp: 949363200 -> Services: 343
Year: 2000, Month: 3, Day: 1, Timestamp: 951868800 -> Services: 339
Year: 2000, Month: 4, Day: 1, Timestamp: 954547200 -> Services: 338
Year: 2000, Month: 5, Day: 1, Timestamp: 957139200 -> Services: 338
Year: 2000, Month: 6, Day: 1, Timestamp: 959817600 -> Services: 334
Year: 2000, Month: 7, Day: 1, Timestamp: 962409600 -> Services: 327
Year: 2000, Month: 8, Day: 1, Timestamp: 965088000 -> Services: 323
Year: 2000, Month: 9, Day: 1, Timestamp: 967766400 -> Services: 319
Year: 2000, Month: 10, Day: 1, Timestamp: 970358400 -> Services: 315
Year: 2000, Month: 11, Day: 1, Timestamp: 973036800 -> Services: 310
Year: 2000, Month: 12, Day: 1, Timestamp: 975628800 -> Services: 307
Year: 2001, Month: 1, Day: 1, Timestamp: 978307200 -> Services: 309
Year: 2001, Month: 2, Day: 1, Timestamp: 980985600 -> Services: 307
